iter	Accuracy	Logloss
0	0.8204264871	0.6214994453
1	0.8170594837	0.5702284602
2	0.810325477	0.5339023736
3	0.8215488215	0.4984832915
4	0.8294051627	0.4738745572
5	0.8294051627	0.4536647063
6	0.8383838384	0.4379736927
7	0.8361391695	0.4322035085
8	0.8383838384	0.4229460843
9	0.8361391695	0.4193217059
10	0.8361391695	0.4085439593
11	0.8361391695	0.4034608024
12	0.8361391695	0.3962086541
13	0.8361391695	0.3908416026
14	0.8395061728	0.3856620474
15	0.8406285073	0.3826949175
16	0.8451178451	0.3759148529
17	0.847362514	0.3727790999
18	0.8507295174	0.3709671387
19	0.8518518519	0.3688218043
20	0.8507295174	0.3686194165
21	0.8518518519	0.366967284
22	0.8518518519	0.3666744081
23	0.8507295174	0.3661109865
24	0.8518518519	0.3650269757
25	0.8518518519	0.3631381195
26	0.8507295174	0.3621820477
27	0.8507295174	0.3619160054
28	0.8540965208	0.3611290654
29	0.8540965208	0.3598961378
30	0.8552188552	0.3591006931
31	0.8540965208	0.3573713
32	0.8574635241	0.3545886559
33	0.8574635241	0.3538595627
34	0.8552188552	0.3518044219
35	0.8563411897	0.3512316328
36	0.8574635241	0.3510405396
37	0.8563411897	0.3504885388
38	0.8563411897	0.3499116837
39	0.8563411897	0.3496516444
40	0.8563411897	0.3482912098
41	0.8552188552	0.3469490556
42	0.8574635241	0.3445230735
43	0.859708193	0.3434058764
44	0.8585858586	0.3409328206
45	0.8608305275	0.3406602702
46	0.8608305275	0.340199122
47	0.8585858586	0.3394794743
48	0.8574635241	0.3367361578
49	0.859708193	0.3363173851
50	0.8608305275	0.3344370108
51	0.859708193	0.3336979625
52	0.859708193	0.3336166161
53	0.8608305275	0.3326976765
54	0.8608305275	0.3309855838
55	0.861952862	0.3303832567
56	0.861952862	0.3289752205
57	0.8664421998	0.3278854806
58	0.8675645342	0.3277837085
59	0.8686868687	0.3270190591
60	0.8698092031	0.3257490628
61	0.8709315376	0.3241543386
62	0.8754208754	0.3222594298
63	0.8765432099	0.3216996565
64	0.8765432099	0.3214486252
65	0.8765432099	0.3213028581
66	0.8776655443	0.3207205304
67	0.8787878788	0.3206460451
68	0.8799102132	0.3187428285
69	0.8810325477	0.3180985633
70	0.8810325477	0.3174185471
71	0.8810325477	0.3171552391
72	0.8810325477	0.3164116255
73	0.8832772166	0.3138697881
74	0.8832772166	0.3125697438
75	0.8832772166	0.3120887223
76	0.8855218855	0.3113951987
77	0.8855218855	0.3109786453
78	0.8877665544	0.3094131869
79	0.8877665544	0.309410473
80	0.8877665544	0.3084262078
81	0.8877665544	0.3080139857
82	0.8877665544	0.307879769
83	0.8922558923	0.3038989855
84	0.8922558923	0.3034524628
85	0.8922558923	0.3034097349
86	0.8922558923	0.3010090147
87	0.8922558923	0.2997141635
88	0.8933782267	0.2990788325
89	0.8933782267	0.2989180604
90	0.8922558923	0.2984023924
91	0.8922558923	0.2979881381
92	0.8922558923	0.2973023433
93	0.8922558923	0.2969070084
94	0.8945005612	0.2942711779
95	0.8967452301	0.2939204463
96	0.8967452301	0.2937856934
97	0.8967452301	0.2930688138
98	0.8956228956	0.2924384936
99	0.8978675645	0.2911034777
