iter	Passed	Remaining
0	31	3104
1	58	2849
2	78	2543
3	110	2644
4	137	2607
5	163	2557
6	193	2575
7	210	2419
8	235	2382
9	250	2252
10	282	2285
11	308	2264
12	333	2233
13	364	2239
14	395	2241
15	424	2227
16	450	2200
17	481	2194
18	503	2146
19	525	2101
20	538	2026
21	566	2009
22	584	1955
23	605	1916
24	622	1866
25	649	1847
26	682	1844
27	695	1789
28	720	1764
29	746	1741
30	775	1726
31	806	1712
32	840	1705
33	874	1697
34	899	1671
35	921	1637
36	938	1598
37	978	1596
38	1003	1569
39	1020	1530
40	1051	1512
41	1081	1494
42	1107	1467
43	1132	1441
44	1168	1428
45	1190	1397
46	1207	1361
47	1236	1339
48	1270	1321
49	1302	1302
50	1327	1275
51	1347	1243
52	1374	1219
53	1403	1195
54	1435	1174
55	1458	1146
56	1486	1121
57	1513	1095
58	1535	1067
59	1566	1044
60	1595	1019
61	1620	993
62	1652	970
63	1674	941
64	1703	917
65	1721	886
66	1752	863
67	1770	833
68	1796	807
69	1828	783
70	1854	757
71	1879	731
72	1909	706
73	1944	683
74	1970	656
75	1996	630
76	2024	604
77	2053	579
78	2079	552
79	2092	523
80	2124	498
81	2155	473
82	2172	445
83	2198	418
84	2224	392
85	2239	364
86	2269	339
87	2295	312
88	2324	287
89	2357	261
90	2383	235
91	2409	209
92	2444	184
93	2470	157
94	2496	131
95	2524	105
96	2559	79
97	2585	52
98	2612	26
99	2642	0
