iter	Accuracy	Logloss
0	0.8266832918	0.6184275027
1	0.8241895262	0.5690538244
2	0.8266832918	0.5322760474
3	0.8279301746	0.5050768584
4	0.8266832918	0.482588922
5	0.8341645885	0.4596857708
6	0.8329177057	0.4466558832
7	0.8341645885	0.4377114854
8	0.8329177057	0.4299858926
9	0.8329177057	0.4241344524
10	0.8354114713	0.4216916745
11	0.8354114713	0.4166630142
12	0.8354114713	0.4121400877
13	0.8354114713	0.4085000486
14	0.8366583541	0.4028207348
15	0.8354114713	0.3979548785
16	0.8366583541	0.3946390146
17	0.8354114713	0.3923882265
18	0.8354114713	0.3912736172
19	0.8354114713	0.3872858565
20	0.8366583541	0.3849649741
21	0.8354114713	0.3839411908
22	0.8366583541	0.3815092863
23	0.8379052369	0.3802313182
24	0.8403990025	0.3780909241
25	0.8391521197	0.376489594
26	0.8403990025	0.3752645325
27	0.8403990025	0.3737210314
28	0.8403990025	0.3735182536
29	0.8403990025	0.3721737272
30	0.8403990025	0.3718443211
31	0.8403990025	0.3710685599
32	0.8403990025	0.3669498376
33	0.8403990025	0.3662240761
34	0.8416458853	0.3649263452
35	0.8441396509	0.3637122652
36	0.8466334165	0.3628766986
37	0.8453865337	0.3616921638
38	0.8478802993	0.3600445645
39	0.8453865337	0.3592610139
40	0.8466334165	0.3590442395
41	0.8466334165	0.3557125349
42	0.8478802993	0.3548629028
43	0.8466334165	0.3546095363
44	0.8478802993	0.3536754985
45	0.8528678304	0.3522583386
46	0.8591022444	0.3502881665
47	0.8566084788	0.3501372623
48	0.855361596	0.3496457743
49	0.8591022444	0.3491221696
50	0.8603491272	0.3483688862
51	0.8603491272	0.3472442982
52	0.8603491272	0.3449222028
53	0.8603491272	0.3448186697
54	0.8603491272	0.3441028753
55	0.8603491272	0.3434668482
56	0.8603491272	0.3434081259
57	0.8603491272	0.3426616696
58	0.8603491272	0.3416440027
59	0.8603491272	0.3407207087
60	0.8603491272	0.3404512481
61	0.8603491272	0.3395966919
62	0.8628428928	0.3386968383
63	0.8640897756	0.3376731226
64	0.8640897756	0.3374847742
65	0.8653366584	0.3354231887
66	0.8653366584	0.3349711145
67	0.8678304239	0.3328555583
68	0.8678304239	0.33277025
69	0.8678304239	0.3281701065
70	0.8728179551	0.3263339261
71	0.8728179551	0.3253345356
72	0.8753117207	0.3237702681
73	0.8753117207	0.3227395885
74	0.8778054863	0.3214522362
75	0.8778054863	0.3214297066
76	0.8765586035	0.3189187493
77	0.8790523691	0.3182164601
78	0.8765586035	0.315966756
79	0.8790523691	0.3138609587
80	0.8778054863	0.3127626168
81	0.8790523691	0.3113688092
82	0.8802992519	0.3110693978
83	0.8815461347	0.3098590073
84	0.8815461347	0.3092479809
85	0.8815461347	0.3084655388
86	0.885286783	0.3069588995
87	0.885286783	0.3069190699
88	0.885286783	0.3068987899
89	0.885286783	0.3068144913
90	0.8840399002	0.3053510977
91	0.885286783	0.3052067288
92	0.885286783	0.3049735467
93	0.8865336658	0.303765256
94	0.8865336658	0.3037640941
95	0.8865336658	0.3012109745
96	0.8877805486	0.3007674195
97	0.8877805486	0.3007435151
98	0.8877805486	0.3005045279
99	0.8877805486	0.3004815316
