iter	Passed	Remaining
0	41	4098
1	71	3488
2	103	3351
3	134	3238
4	164	3133
5	194	3047
6	225	2993
7	260	2995
8	289	2929
9	321	2893
10	338	2735
11	357	2623
12	386	2586
13	415	2552
14	444	2521
15	477	2509
16	510	2493
17	541	2466
18	570	2433
19	600	2400
20	631	2376
21	654	2320
22	691	2314
23	723	2290
24	758	2276
25	788	2244
26	817	2210
27	841	2164
28	858	2102
29	893	2084
30	914	2036
31	947	2013
32	983	1997
33	1019	1978
34	1054	1958
35	1093	1943
36	1112	1894
37	1157	1887
38	1199	1875
39	1238	1858
40	1257	1808
41	1298	1793
42	1330	1763
43	1347	1714
44	1376	1682
45	1407	1652
46	1436	1620
47	1467	1590
48	1492	1552
49	1524	1524
50	1554	1493
51	1583	1461
52	1615	1432
53	1631	1389
54	1665	1362
55	1698	1334
56	1715	1294
57	1741	1260
58	1770	1230
59	1800	1200
60	1832	1171
61	1862	1141
62	1891	1110
63	1922	1081
64	1952	1051
65	1982	1021
66	2006	988
67	2039	959
68	2068	929
69	2097	898
70	2130	870
71	2163	841
72	2192	810
73	2229	783
74	2271	757
75	2299	726
76	2345	700
77	2379	671
78	2409	640
79	2440	610
80	2472	579
81	2503	549
82	2532	518
83	2564	488
84	2594	457
85	2630	428
86	2661	397
87	2679	365
88	2695	333
89	2719	302
90	2748	271
91	2780	241
92	2811	211
93	2854	182
94	2866	150
95	2897	120
96	2928	90
97	2958	60
98	2986	30
99	3009	0
